"abn","geo-address","Health Board","hospital-name","hospital-type","phone-num-switch","related-hospital-expanded","related-hosp-peer-group","related-logo","related-job-lead","remoteness","state","stripe-ID","Creation Date","Modified Date","Slug","Creator","unique id"
"","22-36 Scott St, Toowoomba City QLD 4350","","St Vincent's Private Hospital Toowoomba","Private","","1693732776265x585103713568737400","1676964822585x278007903903493500","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906940x599567812117492600"
"","101 Drummond St N, Ballarat VIC 3350","","St John of God Ballarat Hospital","Private","","1693732776421x119517808305681150","1676964822585x278007903903493500","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906940x615352126710345900"
"","1125 Pemberton St, West Albury NSW 2640","","Albury-Wodonga Private Hospital","Private","","1693732775969x905542755774137100","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906993x861244301735531400"
"","31 MacKays Rd, Coffs Harbour NSW 2450","","Baringa Private Hospital","Private","","1693732775817x988988914172684400","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906994x280643474771832930"
"","5A South St, Forster NSW 2428","","Forster Private Hospital","Private","","1693732775317x995126438716910100","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906995x263268216611681760"
"","24 Lyttleton St, Launceston TAS 7250","","Calvary Health Care TASmania - Launceston campus (St Lukes)","Private","","1693732775465x659830684102921700","1676964822585x347048757378232160","","","","TAS","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906995x554475556274272450"
"","261 March St, Orange NSW 2800","","Dudley Private Hospital","Private","","1693732775657x922701806793661700","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906995x649707142944364600"
"","50 Rossella St, Gladstone Central QLD 4680","","Mater Misericordiae Hospital Gladstone","Private","","1693732774753x456792704546348200","1676964822585x347048757378232160","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906997x431600587681096200"
"","","","Hobart Private Hospital","Private","","1693732774897x446967371123082400","1676964822585x347048757378232160","","","","TAS","cus_NxgRIg1TLZagBk","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906997x630321422340143000"
"","","","Hillcrest - Rockhampton Private Hospital","Private","","1693732775049x464484046290789760","1676964822585x347048757378232160","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906997x920453235411123500"
"","20 Fitzgerald St, Shepparton VIC 3630","","Shepparton Private Hospital","Private","","1693732774009x930464018314605600","1676964822585x347048757378232160","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906998x100492986598506690"
"","99 Bowral St, Bowral NSW 2576","","Southern Highlands Private Hospital","Private","","1693732774155x689864238544484000","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906998x340302585151656600"
"","2 Potoroo Dr, Taree NSW 2430","","Mayo Private Hospital","Private","","1693732774301x981818856188962300","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906998x696709740195412500"
"","76 Willetts Rd, North Mackay QLD 4740","","Mater Misericordiae Hospital Mackay","Private","","1693732774453x717850679332118400","1676964822585x347048757378232160","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906998x729312951483688700"
"","Ward St, Rockhampton QLD 4700","","Mater Misericordiae Hospital Rockhampton","Private","","1693732774605x425686593230806000","1676964822585x347048757378232160","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906998x931993988514268700"
"","20 Dalley St, East Lismore NSW 2480","","St Vincents Private Hospital Lismore","Private","","1693732773721x531574050755141600","1676964822585x347048757378232160","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906999x705473195327551700"
"","700 Robertson Dr, College Grove WA 6230","","St John of God Hospital Bunbury","Private","","1693732773865x970936499632737200","1676964822585x347048757378232160","","","","WA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906999x955426422037001900"
"","51 Gormans Hill Rd, Gormans Hill NSW 2795","","Bathurst Private Hospital","Private","","1693732773421x905570602627259100","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907063x527549831926602560"
"","226 Rusden St, Armidale NSW 2350","","Armidale Private Hospital","Private","","1693732773569x291874018255634500","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907063x789643886991671900"
"","Boat Harbour Dr, Hervey Bay QLD 4655","","Hervey Bay Surgical Hospital","Private","","1693732772685x158961630974361340","1676964822585x708987829409945600","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907064x322420563370099140"
